name,PartyAb,PartyNm,CandidateID
ANGEL Joy,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37241
CRUZ James,GRN,The Greens,36072
del VALLE Yana,AJP,Animal Justice Party,36246
DOUBE Clare,DAVI,David Pocock,35954
FAHIZ Jannah,AJP,Animal Justice Party,36251
FAULKNER Therese,AUP,Australian Progressives,37384
GALLAGHER Katy,ALP,Australian Labor Party,36044
GORENG GORENG Tjanara,GRN,The Greens,36071
HAYDON John,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37248
HUYNH Kim,KCBR,Kim for Canberra,36891
KATELARIS Andrew,HMP,Legalise Cannabis Australia,36089
LAM Kacey,LP,Liberal,37189
LI Fuxin,IND,Independent,36976
LIDDICOAT Mary-Jane,IMO,Informed Medical Options Party,36279
LIN Stephen,AUP,Australian Progressives,37386
NORTHAM Maddy,ALP,Australian Labor Party,36045
PAGE Tracey,UAPP,United Australia Party,36098
POCOCK David,DAVI,David Pocock,35953
RUBENSTEIN Kim,KCBR,Kim for Canberra,36889
SAVOULIDIS James,UAPP,United Australia Party,36097
SESELJA Zed,LP,Liberal,37184
SIMMS Michael,IMO,Informed Medical Options Party,36260
STANVIC Michelle,HMP,Legalise Cannabis Australia,36092
