PartyAb,PartyNm,CandidateID,CandidateNm
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37241,ANGEL Joy
GRN,The Greens,36072,CRUZ James
AJP,Animal Justice Party,36246,del VALLE Yana
DAVI,David Pocock,35954,DOUBE Clare
AJP,Animal Justice Party,36251,FAHIZ Jannah
AUP,Australian Progressives,37384,FAULKNER Therese
ALP,Australian Labor Party,36044,GALLAGHER Katy
GRN,The Greens,36071,GORENG GORENG Tjanara
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37248,HAYDON John
KCBR,Kim for Canberra,36891,HUYNH Kim
HMP,Legalise Cannabis Australia,36089,KATELARIS Andrew
LP,Liberal,37189,LAM Kacey
IND,Independent,36976,LI Fuxin
IMO,Informed Medical Options Party,36279,LIDDICOAT Mary-Jane
AUP,Australian Progressives,37386,LIN Stephen
ALP,Australian Labor Party,36045,NORTHAM Maddy
UAPP,United Australia Party,36098,PAGE Tracey
DAVI,David Pocock,35953,POCOCK David
KCBR,Kim for Canberra,36889,RUBENSTEIN Kim
UAPP,United Australia Party,36097,SAVOULIDIS James
LP,Liberal,37184,SESELJA Zed
IMO,Informed Medical Options Party,36260,SIMMS Michael
HMP,Legalise Cannabis Australia,36092,STANVIC Michelle
