code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,GRN,exhausted
A,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0.0,0.0,0.0,0.0
B,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,False,ANGEL Joy,0,0.0,0.0,0.0,0.0
C,United Australia Party,UAPP,False,SAVOULIDIS James,0,0.0,0.0,0.0,0.0
D,Liberal,LP,False,SESELJA Zed,0,0.0,0.0,0.0,0.0
E,David Pocock,DAVI,False,POCOCK David,0,0.0,0.0,0.0,0.0
F,Kim for Canberra,KCBR,False,RUBENSTEIN Kim,0,0.0,0.0,0.0,0.0
G,Australian Progressives,AUP,False,FAULKNER Therese,0,0.0,0.0,0.0,0.0
H,The Greens,GRN,False,GORENG GORENG Tjanara,0,0.0,0.0,0.0,0.0
I,Legalise Cannabis Australia,HMP,False,KATELARIS Andrew,0,0.0,0.0,0.0,0.0
J,Animal Justice Party,AJP,False,del VALLE Yana,0,0.0,0.0,0.0,0.0
K,Informed Medical Options Party,IMO,False,SIMMS Michael,0,0.0,0.0,0.0,0.0
L,Australian Labor Party,ALP,True,GALLAGHER Katy,94761,0.33224176679510686,0.0,0.0,0.0
M,Australian Labor Party,ALP,True,NORTHAM Maddy,471,0.001255184648881378,0.00010167696876413397,0.00026646378020945454,2.804881896941627e-05
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,ANGEL Joy,1558,0.001668904728680268,0.0013884165389861053,0.0019949722491997323,0.0004102139774277129
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,HAYDON John,73,8.064035453707178e-05,8.765255927942584e-05,8.064035453707178e-05,7.012204742354067e-06
P,United Australia Party,UAPP,True,SAVOULIDIS James,6027,0.0034780535522076174,0.01216266912561313,0.0023490885886886127,0.0031414677245746223
Q,United Australia Party,UAPP,True,PAGE Tracey,117,3.856712608294737e-05,0.00023140275649768423,6.310984268118661e-05,7.713425216589474e-05
R,Liberal,LP,True,SESELJA Zed,69673,0.0,0.24428067050701746,0.0,0.0
S,Liberal,LP,True,LAM Kacey,1072,0.0007467998050607081,0.0026646378020945454,0.00023490885886886127,0.00011219527587766508
T,David Pocock,DAVI,True,POCOCK David,60215,0.10019038135875491,0.03505751760939916,0.07149643955304207,0.004375615759228938
U,David Pocock,DAVI,True,DOUBE Clare,89,0.00010868917350648804,3.856712608294737e-05,0.00015076240196061245,1.4024409484708135e-05
V,Kim for Canberra,KCBR,True,RUBENSTEIN Kim,12463,0.018045908904448193,0.0053888793444991,0.019497435286115482,0.0007643303169165934
W,Kim for Canberra,KCBR,True,HUYNH Kim,150,0.00021737834701297608,9.817086639295695e-05,0.0001998478351570909,1.05183071135311e-05
X,Australian Progressives,AUP,True,FAULKNER Therese,675,0.000725763190833646,0.00030503090629240194,0.0012446663417678468,9.115866165060287e-05
Y,Australian Progressives,AUP,True,LIN Stephen,44,4.9085433196478474e-05,2.10366142270622e-05,7.012204742354067e-05,1.4024409484708135e-05
Z,The Greens,GRN,True,GORENG GORENG Tjanara,28910,0.0,0.0,0.10136141955072804,0.0
a,The Greens,GRN,True,CRUZ James,469,0.00023140275649768423,1.7530511855885168e-05,0.0013919226413572823,3.5061023711770337e-06
b,Legalise Cannabis Australia,HMP,True,KATELARIS Andrew,4488,0.00456143918490132,0.0034710413474652634,0.006135679149559809,0.001567227759916134
c,Legalise Cannabis Australia,HMP,True,STANVIC Michelle,62,6.310984268118661e-05,4.557933082530144e-05,8.41464569082488e-05,2.4542716598239237e-05
d,Animal Justice Party,AJP,True,del VALLE Yana,1854,0.0016163131931126126,0.00105183071135311,0.00325015689808111,0.0005820129936153876
e,Animal Justice Party,AJP,True,FAHIZ Jannah,38,4.20732284541244e-05,1.7530511855885168e-05,6.661594505236363e-05,7.012204742354067e-06
f,Informed Medical Options Party,IMO,True,SIMMS Michael,1377,0.0007012204742354067,0.0016163131931126126,0.001027287994754871,0.0014830813030078853
g,Informed Medical Options Party,IMO,True,LIDDICOAT Mary-Jane,81,4.20732284541244e-05,8.765255927942584e-05,8.064035453707178e-05,7.362814979471771e-05
h,Independent,IND,True,LI Fuxin,550,0.000932623230733091,0.00037164685134476557,0.0005364336627900862,8.765255927942584e-05
